name,lat,lng,evalu,review_cnt
アパホテル〈人形町駅東〉,35.6881189,139.7841259,4.2,163
京王プレッソイン日本橋茅場町,35.6806475,139.7803482,3.9,2485
センターホテル東京,35.67931243,139.7763289,3.8,65
銀座クレストン（旧新阪急ホテル築地）（HMIホテルグループ）,35.6664583,139.778424,4.4,1451
アパホテル〈神田駅前〉,35.693765,139.7722966,4.1,269
アパホテル〈八丁堀 新富町〉,35.6717254,139.7752685,4.2,214
ホテルインターゲート東京京橋,35.6754927,139.7708075,4.3,568
ダイワロイネットホテル東京京橋 PREMIER,35.6773556,139.7709543,4.0,28
相鉄フレッサイン銀座七丁目,35.6681821,139.7632573,4.3,483
住庄ほてる,35.6856568,139.7792859,4.1,209
ホテルモントレ銀座,35.672809,139.7689219,4.4,1557
八重洲ターミナルホテル,35.6815715,139.7711384,4.1,95
ＪＲ西日本グループ 　ヴィアイン秋葉原,35.6964571,139.7723026,4.1,3998
アパホテル〈日本橋 馬喰町駅北〉,35.6937444,139.7812504,4.1,258
レムプラス銀座,35.6674157,139.7624475,4.4,8
ワシントンR&Bホテル東日本橋,35.6939241,139.7854697,3.8,1882
ザ　ロイヤルパークホテル　銀座６丁目（24年5月30日開業）,35.6680386,139.7655746,4.1,21
ホテル モンテ エルマーナ東京（ホテルモントレグループ）,35.6802025,139.7709235,4.3,111
ヴィラフォンテーヌ東京日本橋三越前｜住友不動産,35.6811836,139.7741538,4.1,1097
レム秋葉原,35.697758,139.7736886,4.2,29
ＫＯＫＯ　ＨＯＴＥＬ　築地　銀座,35.664786,139.7732295,4.4,77
コンフォートホテル東京東日本橋,35.6940913,139.783047,4.0,4036
東横ＩＮＮ日本橋人形町,35.683487,139.7812512,4.3,156
銀座ベルビューホテル,35.6711578,139.7612447,4.1,1092
ホテルＳＵＩ神田　ｂｙ　ＡＢＥＳＴ,35.6907751,139.7733003,4.0,661
Ｊホテル東京ジオ,35.6865705,139.7704114,4.1,329
グランドセントラルホテル,35.6924694,139.7682327,3.8,43
アパホテル〈銀座 新富町駅前北〉,35.6732083,139.7744211,4.1,177
相鉄フレッサイン神田大手町,35.6905894,139.7684302,4.0,208
パールホテル茅場町,35.6789797,139.7829096,3.7,2025
